Time_Stamp,Input__NewOrder,Output__MAG1 Completed,Output__MAG2 Completed,Output__ReWork Completed,Emission,Grid
480.0,74.0,31.0,36.0,6.0,2547.23,3997.19
480.0,83.0,8.0,49.0,14.0,2210.08,4557.65
480.0,70.0,9.0,52.0,7.0,1854.72,4091.62
480.0,72.0,12.0,46.0,13.0,2238.31,4355.31
480.0,75.0,10.0,54.0,3.0,1668.92,3793.13
480.0,87.0,9.0,54.0,6.0,1757.7,4092.49
480.0,71.0,32.0,32.0,4.0,2418.87,3757.3
480.0,69.0,31.0,27.0,5.0,2278.02,3576.02
480.0,83.0,29.0,39.0,9.0,2714.23,4428.7
480.0,86.0,30.0,44.0,4.0,2484.35,4278.34
480.0,72.0,17.0,43.0,10.0,2259.08,4164.72
480.0,74.0,5.0,47.0,6.0,1429.26,3419.32
480.0,76.0,1.0,45.0,7.0,1268.23,3210.41
480.0,89.0,4.0,43.0,5.0,1259.75,3072.74
480.0,80.0,4.0,44.0,9.0,1520.77,3533.98
480.0,80.0,2.0,44.0,7.0,1337.26,3252.56
480.0,81.0,5.0,47.0,9.0,1643.42,3816.9
480.0,68.0,7.0,47.0,11.0,1826.62,4018.8
480.0,79.0,7.0,50.0,8.0,1717.03,3919.69
480.0,75.0,5.0,52.0,7.0,1589.7,3843.99
480.0,70.0,3.0,51.0,9.0,1633.01,3891.64
480.0,73.0,45.0,15.0,6.0,2839.45,3506.13
480.0,73.0,39.0,18.0,10.0,2906.7,3730.44
480.0,72.0,43.0,17.0,8.0,2923.29,3682.88
480.0,80.0,46.0,19.0,0.0,2578.43,3228.88
480.0,68.0,39.0,13.0,9.0,2720.49,3479.3
480.0,89.0,10.0,51.0,9.0,2063.92,4332.71
480.0,70.0,10.0,49.0,4.0,1603.6,3659.13
480.0,79.0,11.0,49.0,9.0,2034.57,4086.21
480.0,92.0,6.0,50.0,11.0,1900.9,4197.74
480.0,84.0,13.0,48.0,9.0,2078.14,4333.87
480.0,87.0,46.0,15.0,2.0,2628.24,3189.51
480.0,81.0,44.0,11.0,4.0,2705.9,3227.38
480.0,72.0,42.0,13.0,6.0,2704.09,3228.19
480.0,73.0,45.0,14.0,2.0,2606.83,3103.76
480.0,76.0,43.0,13.0,6.0,2785.19,3325.12
480.0,87.0,43.0,26.0,8.0,3099.29,4189.14
480.0,77.0,34.0,28.0,7.0,2703.38,3838.11
480.0,86.0,39.0,26.0,8.0,2935.24,4067.38
480.0,87.0,39.0,32.0,7.0,2898.22,4278.23
480.0,76.0,27.0,33.0,10.0,2555.54,4046.89
480.0,80.0,3.0,49.0,12.0,1729.24,4065.29
480.0,70.0,4.0,50.0,8.0,1570.2,3778.27
480.0,79.0,1.0,44.0,14.0,1723.76,3989.48
480.0,85.0,3.0,54.0,6.0,1462.63,3786.87
480.0,81.0,2.0,52.0,8.0,1504.68,3799.4
480.0,87.0,44.0,18.0,2.0,2670.93,3301.06
480.0,69.0,38.0,20.0,5.0,2529.44,3355.1
480.0,74.0,43.0,17.0,7.0,2864.61,3591.1
480.0,77.0,41.0,20.0,5.0,2695.78,3512.71
480.0,72.0,44.0,18.0,2.0,2602.14,3289.47
480.0,75.0,47.0,3.0,4.0,2577.47,2725.52
480.0,65.0,44.0,3.0,2.0,2422.92,2460.67
480.0,77.0,42.0,7.0,5.0,2555.61,2878.47
480.0,76.0,47.0,6.0,4.0,2643.52,2871.54
480.0,79.0,48.0,7.0,2.0,2543.59,2848.87
480.0,79.0,42.0,18.0,4.0,2647.87,3336.03
480.0,64.0,35.0,21.0,5.0,2363.51,3291.97
480.0,74.0,44.0,19.0,6.0,2854.86,3651.05
480.0,76.0,38.0,28.0,4.0,2627.96,3616.17
480.0,73.0,45.0,21.0,3.0,2765.7,3557.19
480.0,81.0,18.0,47.0,9.0,2275.97,4336.72
480.0,73.0,22.0,39.0,8.0,2307.5,4059.72
480.0,77.0,19.0,38.0,15.0,2568.4,4406.71
480.0,86.0,22.0,45.0,9.0,2453.32,4353.09
480.0,67.0,15.0,39.0,11.0,2122.52,3965.7
480.0,85.0,45.0,7.0,2.0,2466.7,2560.24
480.0,82.0,41.0,9.0,6.0,2622.1,2874.71
480.0,81.0,43.0,3.0,3.0,2319.67,2389.22
480.0,91.0,45.0,7.0,1.0,2384.24,2466.49
480.0,77.0,45.0,3.0,4.0,2543.97,2583.84
480.0,74.0,44.0,14.0,3.0,2634.61,3070.75
480.0,77.0,42.0,14.0,3.0,2497.86,2973.42
480.0,86.0,35.0,15.0,8.0,2593.49,3194.4
480.0,79.0,45.0,12.0,4.0,2683.02,3050.58
480.0,82.0,44.0,12.0,5.0,2702.19,3167.31
480.0,92.0,45.0,18.0,4.0,2781.71,3478.53
480.0,73.0,40.0,23.0,6.0,2788.76,3725.92
480.0,69.0,38.0,21.0,6.0,2733.2,3506.12
480.0,74.0,40.0,19.0,6.0,2772.3,3480.38
480.0,76.0,39.0,22.0,6.0,2692.16,3596.8
480.0,71.0,0.0,56.0,5.0,1316.28,3598.83
480.0,67.0,1.0,46.0,12.0,1580.68,3750.74
480.0,79.0,0.0,48.0,9.0,1472.09,3708.34
480.0,80.0,1.0,54.0,8.0,1486.09,3795.81
480.0,78.0,1.0,53.0,6.0,1367.5,3623.23
480.0,68.0,30.0,27.0,5.0,2278.92,3403.66
480.0,62.0,28.0,26.0,5.0,2129.96,3292.16
480.0,78.0,27.0,32.0,9.0,2546.23,3958.57
480.0,91.0,42.0,28.0,3.0,2768.53,3853.02
480.0,73.0,27.0,28.0,10.0,2456.06,3877.44
480.0,83.0,45.0,4.0,3.0,2516.74,2549.51
480.0,72.0,41.0,6.0,4.0,2452.31,2598.55
480.0,80.0,41.0,5.0,4.0,2393.4,2484.21
480.0,82.0,46.0,8.0,4.0,2678.28,2964.32
480.0,71.0,46.0,2.0,1.0,2377.5,2354.2
