generation,individual,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,mean_outputs,mean_throughput_ratio,mean_energy,mean_emission,f_energy,f_emission,f_outputs_cost
1,0,3.1947782927415713,14.691543028184292,2.273440398428068,7.824563809913241,10.334803652427274,0.4306280204141778,0.5867985714381407,71.6,0.9034346663898974,3884.5709779307485,2676.9345750873536,0.9858179851181488,0.9950591422777683,-1.0112994350282485
1,1,14.756755745843204,19.125345096721972,5.684023274975829,12.970944141596501,13.924319933403108,0.2927207490124871,0.0014900835088361708,59.8,0.7819363150124378,3721.690182662399,1397.349710245211,0.9444824506876723,0.5194171038316523,-0.844632768361582
1,2,0.6069201532494239,14.139301913112469,7.484876669569416,1.8170542700851566,13.210001348557896,0.9314638547413545,0.20719116808100124,52.8,0.7109974975709046,3252.875770300453,1564.0905870468814,0.8255077474283716,0.5813973387604416,-0.7457627118644068
1,3,12.60180399570686,5.963261813148495,14.835133601386607,14.44329616284235,4.374308491376091,0.8298868742743123,0.6576522108732432,58.2,0.7786925082977714,3038.961736023061,2340.824541153145,0.771221108451275,0.8701216988340446,-0.8220338983050848
1,4,7.878546652646703,9.5936784702455,2.9266913951639695,13.968526898941871,5.83957231975702,0.8711391497935891,0.2753743769480771,55.4,0.6833830910869638,3271.4953659641465,1776.6967856417662,0.8302329879723542,0.6604264430148328,-0.7824858757062148
1,5,11.2361943746178,7.993124422609055,12.258189838048782,3.9327847954424744,3.6057508168619035,0.7468603856498379,0.7522234183692774,61.2,0.8049782520338381,3111.547214522139,2538.4079495460305,0.7896416935221429,0.9435665931222535,-0.864406779661017
1,6,11.339557489058246,18.4215935456586,4.115500964580376,17.01802249183303,3.3797462265417244,0.9643577208942796,0.6236927281061517,49.0,0.6754608133483637,2678.466443817027,1967.5327406348424,0.6797353962256132,0.7313632015962309,-0.692090395480226
1,7,12.137675760200295,19.411175262652478,15.740654275775421,15.798349521771087,1.0818751574193053,0.3692863060944199,0.08489477216546804,65.6,0.8761144439980362,4025.0959259279675,1829.4985758983526,1.0214801011872043,0.6800537079515319,-0.9265536723163842
1,8,3.870551629310288,4.277339813842945,17.172838643318087,2.535099594366108,5.935155367788989,0.4928469789243326,0.8494604111895369,58.0,0.7539414369840427,2962.9886022557384,2591.3346350714514,0.7519408115847446,0.9632402836160946,-0.8192090395480226
1,9,19.30462841674751,14.162895413744835,4.273744388610963,10.899653629160081,14.119180859737739,0.05188252772662516,0.6798841672240714,65.4,0.8653191240973299,3491.0361592073,2638.2538039991896,0.885947573617921,0.9806808846767676,-0.9237288135593221
