pareto_id,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,n_replications,mean_inputs,mean_outputs,mean_throughput_ratio,mean_energy,mean_emission,sd_outputs,sd_energy,sd_emission,ci95_outputs_low,ci95_outputs_high,ci95_energy_low,ci95_energy_high,ci95_emission_low,ci95_emission_high,nondominated_after_reevaluation
1,4.482254462595896,4.193948683586738,13.031011787997286,6.335337938334012,0.8995844950154046,0.9765351040463354,0.9871536732248436,100,76.05,48.07,0.6374085614075278,2191.0010497291487,2405.0216544879167,1.1033008326257745,86.7214256290365,79.44456141917976,47.85108117852903,48.28891882147097,2173.7936374499354,2208.208462008362,2389.2581299406056,2420.785179035228,True
2,7.867203861967462,7.3791361185059365,1.2652320806645276,10.804862081731313,0.14802930758214572,0.9991046247295744,0.0006439035707069829,100,75.95,47.91,0.6357541476877906,2876.148538366534,1139.603898878999,1.120019841094096,109.84674508847083,97.11613061615263,47.6877637645275,48.13223623547249,2854.3525609992744,2897.9445157337937,1120.3339516156489,1158.873846142349,True
4,7.317303990102632,7.3791361185059365,9.651560534902966,10.804862081731313,0.16729026974282624,0.9996480042650737,0.8713841988764528,100,76.01,47.72,0.6331772552787398,2328.2015827913815,2245.294072050475,1.0452393278695806,97.78295514417053,103.3133639990117,47.512601840725765,47.92739815927423,2308.799323074814,2347.603842507949,2224.7944592340523,2265.7936848668974,True
5,6.10554398662318,9.906020016240337,5.899934441073484,14.798605840176823,4.9971070168369565,0.3787435378378585,0.5056434453418749,100,76.64,71.59,0.9352048681140265,3939.991390317485,2674.691164777885,6.388270501473776,350.79332088382876,263.5187009573212,70.32242853801529,72.85757146198472,3870.386384940113,4009.596395694857,2622.403337429979,2726.9789921257916,True
6,6.066486032545684,4.292636828037045,3.965360683653914,2.1190130933510334,0.321980807087086,0.522350917971649,0.4660059876192896,100,75.66,70.87,0.9376299902389463,3933.740203894122,2558.919641588685,6.150724684247714,343.54892828567563,279.3855632478761,69.64956278174529,72.09043721825472,3865.5726431764137,4001.90776461183,2503.4834845283613,2614.3557986490086,True
7,6.912954316495458,9.493562827774392,11.480995892090277,19.37748041478386,17.391129073396954,0.9329044903570007,0.48998762565058995,100,76.27,52.49,0.6930289312585142,3010.041609189198,1937.68464276663,2.5365808530859852,167.07978915314044,138.33913866381846,51.986687327243445,52.99331267275656,2976.8893541999823,3043.1938641784136,1910.2351563672441,1965.134129166016,True
8,5.029965448086042,10.014063759775624,5.985857804565658,15.788579049575029,0.215537865640544,0.850685532202827,0.0186933269400245,100,75.52,56.87,0.7585057353520861,3396.6683994041828,1377.056371701831,2.794854579618074,177.05653556777696,113.36064955839855,56.31544021661201,57.424559783387984,3361.5365414792846,3431.800257329081,1354.56315945305,1399.549583950612,True
9,0.884053285393376,14.691543028184292,1.2452142075775785,14.927102524357949,0.29495987497314147,0.8619663091291041,0.5867985714381407,100,75.95,57.15,0.7583830297192425,3106.5922117759073,2263.553051030562,3.1602806421857124,182.39707365232647,160.11522812378607,56.522931757825035,57.77706824217496,3070.400675231255,3142.78374832056,2231.7827160467723,2295.323386014352,True
10,6.022316058389455,4.188673285505183,3.0958919855360714,2.4710714735953725,0.9603788823035024,0.9053890532449274,0.8979743809687503,100,76.54,51.83,0.6824948922409821,2488.2339225686355,2470.4259942905815,2.2876700687455664,136.90074185842877,103.81443971914136,51.3760766270136,52.28392337298639,2461.069845301675,2515.3979998355962,2449.8269571803717,2491.0250314007912,True
11,10.166143020118238,12.194818232043863,11.514423119872545,19.262366356256884,17.383676579592645,0.9751429259170944,0.009433184472257994,100,75.98,49.76,0.6595619254823895,3061.279039647117,1196.6747294813283,1.853852118365345,148.48597246167463,98.74346379278852,49.39215552011492,50.12784447988508,3031.8162012851462,3090.7418780090875,1177.0818840104948,1216.2675749521618,True
