pareto_id,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,f_energy,f_emission,f_outputs_cost
0,0.884053285393376,14.691543028184292,1.8673081125040492,7.824563809913241,0.36952029393863395,0.42358676511849935,0.5867985714381407,1.024133286014329,1.0934681916858235,-1.0536723163841808
1,4.482254462595896,4.193948683586738,13.031011787997286,6.335337938334012,0.8995844950154046,0.9765351040463354,0.9871536732248436,0.5510880087213224,0.8821027082704802,-0.672316384180791
2,7.867203861967462,7.3791361185059365,1.2652320806645276,10.804862081731313,0.14802930758214572,0.9991046247295744,0.0006439035707069829,0.707232654442582,0.3993997261939555,-0.672316384180791
3,4.841805718353657,11.604882791292837,1.2242213026027144,11.122113673506739,10.336785762448839,0.38907841384086084,0.43133685717095205,1.135781483926926,0.9976230321136378,-1.1242937853107344
4,7.317303990102632,7.3791361185059365,9.651560534902966,10.804862081731313,0.16729026974282624,0.9996480042650737,0.8713841988764528,0.5925596564652836,0.8119468095276011,-0.6638418079096046
5,6.10554398662318,9.906020016240337,5.899934441073484,14.798605840176823,4.9971070168369565,0.3787435378378585,0.5056434453418749,1.0793924826613344,1.0764557852363963,-1.112994350282486
6,6.066486032545684,4.292636828037045,3.965360683653914,2.1190130933510334,0.321980807087086,0.522350917971649,0.4660059876192896,0.9584463832535252,0.904079259319195,-0.9745762711864407
7,6.912954316495458,9.493562827774392,11.480995892090277,19.37748041478386,17.391129073396954,0.9329044903570007,0.48998762565058995,0.7319392566477758,0.6498700747333437,-0.7175141242937852
8,5.029965448086042,10.014063759775624,5.985857804565658,15.788579049575029,0.215537865640544,0.850685532202827,0.0186933269400245,0.8369946667682912,0.4885278191095379,-0.788135593220339
9,0.884053285393376,14.691543028184292,1.2452142075775785,14.927102524357949,0.29495987497314147,0.8619663091291041,0.5867985714381407,0.7528771032835714,0.7893006900401386,-0.7937853107344633
10,6.022316058389455,4.188673285505183,3.0958919855360714,2.4710714735953725,0.9603788823035024,0.9053890532449274,0.8979743809687503,0.6370499034200227,0.9031430295091873,-0.731638418079096
11,10.166143020118238,12.194818232043863,11.514423119872545,19.262366356256884,17.383676579592645,0.9751429259170944,0.009433184472257994,0.7617146654781585,0.43210946127249306,-0.7005649717514125
12,5.926079681212036,9.342326804097585,1.2650736070046174,16.347381067828906,0.14802930758214572,0.9814272824224292,0.0006439035707069829,0.7183259776249536,0.4045502115960883,-0.6807909604519775
