pareto_id,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,n_replications,mean_inputs,mean_outputs,mean_throughput_ratio,mean_energy,mean_emission,sd_outputs,sd_energy,sd_emission,ci95_outputs_low,ci95_outputs_high,ci95_energy_low,ci95_energy_high,ci95_emission_low,ci95_emission_high,nondominated_after_reevaluation,score_equal,score_throughput_priority,score_sustainability_priority,score_energy_priority,score_emission_priority
1,4.482254462595896,4.193948683586738,13.031011787997286,6.335337938334012,0.8995844950154046,0.9765351040463354,0.9871536732248436,100,76.05,48.07,0.6374085614075278,2191.0010497291487,2405.0216544879167,1.1033008326257745,86.7214256290365,79.44456141917976,47.85108117852903,48.28891882147097,2173.7936374499354,2208.208462008362,2389.2581299406056,2420.785179035228,True,0.5908406516996243,0.7486148204676273,0.5119535673156229,0.35450439101977466,0.6694027436114711
2,7.867203861967462,7.379136118505936,1.2652320806645276,10.804862081731311,0.1480293075821457,0.9991046247295744,0.0006439035707069,100,75.95,47.91,0.6357541476877906,2876.148538366534,1139.603898878999,1.120019841094096,109.84674508847084,97.11613061615265,47.6877637645275,48.13223623547249,2854.3525609992744,2897.9445157337937,1120.3339516156489,1158.873846142349,True,0.4506849352084783,0.6671389774850053,0.34245791407021486,0.4145048670153427,0.270410961125087
4,7.317303990102632,7.379136118505936,9.651560534902966,10.804862081731311,0.1672902697428262,0.9996480042650736,0.8713841988764528,100,76.01,47.72,0.6331772552787398,2328.201582791381,2245.294072050475,1.0452393278695806,97.78295514417051,103.3133639990117,47.512601840725765,47.92739815927423,2308.799323074814,2347.603842507949,2224.7944592340523,2265.7936848668974,True,0.5865345035905816,0.7517571029723449,0.5039232038997,0.38077545390784395,0.6270709538915562
5,6.10554398662318,9.906020016240335,5.899934441073484,14.798605840176824,4.9971070168369565,0.3787435378378585,0.5056434453418749,100,76.64,71.59,0.9352048681140264,3939.991390317485,2674.691164777885,6.388270501473776,350.7933208838288,263.5187009573212,70.32242853801529,72.85757146198472,3870.386384940113,4009.596395694857,2622.403337429979,2726.978992125792,True,0.6326350933015543,0.3889062093551657,0.7544995352747489,0.7474125867377843,0.7615864838117133
6,6.066486032545684,4.292636828037045,3.965360683653914,2.1190130933510334,0.321980807087086,0.522350917971649,0.4660059876192896,100,75.66,70.87,0.9376299902389464,3933.740203894122,2558.919641588685,6.150724684247714,343.54892828567563,279.3855632478761,69.64956278174529,72.09043721825472,3865.5726431764137,4001.90776461183,2503.4834845283613,2614.3557986490086,True,0.617347413253109,0.39151274243039286,0.7302647486644671,0.7369252867874462,0.7236042105414879
7,6.912954316495458,9.493562827774392,11.480995892090275,19.37748041478386,17.391129073396954,0.9329044903570008,0.4899876256505899,100,76.27,52.49,0.6930289312585142,3010.041609189198,1937.68464276663,2.536580853085985,167.07978915314044,138.33913866381846,51.986687327243445,52.99331267275656,2976.8893541999823,3043.1938641784136,1910.235156367244,1965.134129166016,True,0.5772120891543026,0.6681268444946264,0.5317547114841407,0.5185803161577506,0.5449291068105306
8,5.029965448086042,10.014063759775624,5.985857804565658,15.788579049575027,0.215537865640544,0.850685532202827,0.0186933269400245,100,75.52,56.87,0.7585057353520861,3396.6683994041828,1377.056371701831,2.794854579618074,177.05653556777696,113.36064955839856,56.31544021661201,57.424559783387984,3361.536541479285,3431.800257329081,1354.56315945305,1399.549583950612,True,0.4689982356635925,0.5315420906824091,0.43772630815418423,0.5349637876541632,0.3404888286542052
9,0.884053285393376,14.691543028184292,1.2452142075775785,14.927102524357949,0.2949598749731414,0.8619663091291041,0.5867985714381407,100,75.95,57.15,0.7583830297192425,3106.592211775908,2263.553051030562,3.1602806421857124,182.39707365232647,160.11522812378607,56.52293175782504,57.77706824217496,3070.400675231255,3142.78374832056,2231.7827160467723,2295.323386014352,True,0.5981792117848519,0.6044698992590503,0.5950338680477527,0.5514662227180321,0.6386015133774733
10,6.022316058389455,4.188673285505183,3.095891985536072,2.4710714735953725,0.9603788823035024,0.9053890532449274,0.8979743809687503,100,76.54,51.83,0.6824948922409821,2488.2339225686355,2470.425994290581,2.2876700687455664,136.90074185842877,103.81443971914136,51.3760766270136,52.28392337298639,2461.069845301675,2515.397999835596,2449.826957180372,2491.0250314007912,True,0.6052354950158245,0.6957384340238096,0.559984025511832,0.42565257570016346,0.6943154753235005
11,10.166143020118238,12.194818232043865,11.514423119872545,19.262366356256884,17.383676579592645,0.9751429259170944,0.0094331844722579,100,75.98,49.76,0.6595619254823895,3061.279039647117,1196.6747294813283,1.853852118365345,148.48597246167463,98.74346379278852,49.39215552011492,50.12784447988508,3031.8162012851462,3090.7418780090875,1177.0818840104948,1216.2675749521618,True,0.46974421012357465,0.6483086937633064,0.3804619683037088,0.46487537293892484,0.2960485636684928
12,5.926079681212036,9.342326804097585,1.2650736070046174,16.347381067828906,0.1480293075821457,0.9814272824224292,0.0006439035707069,100,75.24,49.12,0.6578085417134543,2944.8200852109394,1170.344985943828,1.6035314562905,118.03421826836345,102.9752435684725,48.801824570215096,49.4381754297849,2921.399535536323,2968.240634885556,1149.9124635563985,1190.777508331258,True,0.45259890570562467,0.6484918587607982,0.35465242917803796,0.43009561620899117,0.2792092421470848
13,0.6489214590087307,9.78858502412928,6.837004681949114,14.374165192899822,0.4456654664318984,0.8572266569607586,0.5217811033371731,100,76.01,57.38,0.7607319296966634,3170.2080327790154,2179.1600154497646,3.293029062131157,192.05537881383552,167.90490506749282,56.726591591310864,58.03340840868914,3132.100078951932,3208.3159866060987,2145.844039562127,2212.4759913374023,True,0.5886918469662258,0.5950146991817804,0.5855304208584485,0.5591528970538983,0.6119079446629987
14,0.884053285393376,14.691543028184292,16.569394119876534,7.824563809913241,0.3695202939386339,0.8732008704230372,0.9079274752912389,100,76.02,51.98,0.690852952166799,2517.2813058006664,2484.0791465867064,2.352647337564535,159.58669550872804,106.12694724960768,51.51318372718826,52.44681627281173,2485.615843154299,2548.9467684470337,2463.0212578122523,2505.1370353611605,True,0.6111126349673592,0.6968107302646691,0.5682635873187043,0.4352878376286896,0.7012393370087191
16,6.066486032545684,12.603535947193787,4.190699117772473,2.0107843396954554,3.625275502425792,0.7863411622454716,0.4247385047946494,100,75.62,61.64,0.8199315564355255,3488.408065145776,2172.779033812989,4.011397902391775,229.2684574599111,182.39323036418585,60.844051628282784,62.43594837171722,3442.916229171956,3533.899901119596,2136.588259860084,2208.9698077658936,True,0.5850583002688738,0.523141319629627,0.6160167905884973,0.6238936674968093,0.6081399136801854
